title,link,category
"Mais de 400 mortos no ""inferno na Terra"": civis, crianças e uma médica entre as vítimas de Gaza",https://www.jn.pt/1704629528/mais-de-400-mortos-no-inferno-na-terra-civis-criancas-e-uma-medica-entre-as-vitimas-de-gaza/,Palestina
Vento muito forte: efeitos da depressão Martinho já se fazem sentir,https://www.jn.pt/1349011353/vento-muito-forte-efeitos-da-depressao-martinho-ja-se-fazem-sentir/,Mau tempo
Sequestrado por casal de namorados conseguiu fugir e pedir ajuda em Amarante,https://www.jn.pt/7999598740/sequestrado-por-casal-de-namorados-conseguiu-fugir-e-pedir-ajuda-em-amarante/,Vila Real
